Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name
1/1/17,AQS,60370002,1,8.3,ug/m3 LC,35,Azusa
1/4/17,AQS,60370002,1,8.5,ug/m3 LC,35,Azusa
1/7/17,AQS,60370002,1,3.7,ug/m3 LC,15,Azusa
1/10/17,AQS,60370002,1,5,ug/m3 LC,21,Azusa
1/13/17,AQS,60370002,1,4.5,ug/m3 LC,19,Azusa
1/16/17,AQS,60370002,1,8.2,ug/m3 LC,34,Azusa
1/28/17,AQS,60370002,1,3.2,ug/m3 LC,13,Azusa
1/31/17,AQS,60370002,1,7.3,ug/m3 LC,30,Azusa
2/3/17,AQS,60370002,1,9.3,ug/m3 LC,39,Azusa
2/6/17,AQS,60370002,1,3.1,ug/m3 LC,13,Azusa
2/9/17,AQS,60370002,1,11.8,ug/m3 LC,49,Azusa
2/12/17,AQS,60370002,1,5,ug/m3 LC,21,Azusa
2/15/17,AQS,60370002,1,5.6,ug/m3 LC,23,Azusa
2/18/17,AQS,60370002,1,3,ug/m3 LC,13,Azusa
2/21/17,AQS,60370002,1,8,ug/m3 LC,33,Azusa
2/24/17,AQS,60370002,1,5.6,ug/m3 LC,23,Azusa
2/27/17,AQS,60370002,1,6,ug/m3 LC,25,Azusa
3/2/17,AQS,60370002,1,3.7,ug/m3 LC,15,Azusa
3/5/17,AQS,60370002,1,6.3,ug/m3 LC,26,Azusa
3/8/17,AQS,60370002,1,6.7,ug/m3 LC,28,Azusa
3/11/17,AQS,60370002,1,12.3,ug/m3 LC,51,Azusa
3/14/17,AQS,60370002,1,13.5,ug/m3 LC,54,Azusa
3/17/17,AQS,60370002,1,18.4,ug/m3 LC,64,Azusa
3/20/17,AQS,60370002,1,9.9,ug/m3 LC,41,Azusa
3/23/17,AQS,60370002,1,5.6,ug/m3 LC,23,Azusa
3/26/17,AQS,60370002,1,6.8,ug/m3 LC,28,Azusa
3/29/17,AQS,60370002,1,8.1,ug/m3 LC,34,Azusa
4/1/17,AQS,60370002,1,9.7,ug/m3 LC,40,Azusa
4/4/17,AQS,60370002,1,14.1,ug/m3 LC,55,Azusa
4/7/17,AQS,60370002,1,8.4,ug/m3 LC,35,Azusa
4/10/17,AQS,60370002,1,10,ug/m3 LC,42,Azusa
4/13/17,AQS,60370002,1,5.5,ug/m3 LC,23,Azusa
4/16/17,AQS,60370002,1,11.3,ug/m3 LC,47,Azusa
4/19/17,AQS,60370002,1,5.3,ug/m3 LC,22,Azusa
4/22/17,AQS,60370002,1,12.2,ug/m3 LC,51,Azusa
4/25/17,AQS,60370002,1,10.3,ug/m3 LC,43,Azusa
4/28/17,AQS,60370002,1,7.5,ug/m3 LC,31,Azusa
5/1/17,AQS,60370002,1,12.3,ug/m3 LC,51,Azusa
5/4/17,AQS,60370002,1,14.2,ug/m3 LC,55,Azusa
5/7/17,AQS,60370002,1,14.7,ug/m3 LC,56,Azusa
5/10/17,AQS,60370002,1,7.1,ug/m3 LC,30,Azusa
5/13/17,AQS,60370002,1,9.7,ug/m3 LC,40,Azusa
5/16/17,AQS,60370002,1,9.7,ug/m3 LC,40,Azusa
5/19/17,AQS,60370002,1,7,ug/m3 LC,29,Azusa
5/22/17,AQS,60370002,1,15.5,ug/m3 LC,58,Azusa
5/25/17,AQS,60370002,1,6.2,ug/m3 LC,26,Azusa
5/28/17,AQS,60370002,1,10.9,ug/m3 LC,45,Azusa
5/31/17,AQS,60370002,1,18.9,ug/m3 LC,65,Azusa
6/3/17,AQS,60370002,1,15.5,ug/m3 LC,58,Azusa
6/6/17,AQS,60370002,1,14.1,ug/m3 LC,55,Azusa
6/9/17,AQS,60370002,1,7.8,ug/m3 LC,33,Azusa
6/12/17,AQS,60370002,1,8.7,ug/m3 LC,36,Azusa
6/15/17,AQS,60370002,1,14.7,ug/m3 LC,56,Azusa
6/18/17,AQS,60370002,1,11.6,ug/m3 LC,48,Azusa
6/21/17,AQS,60370002,1,17.5,ug/m3 LC,62,Azusa
6/24/17,AQS,60370002,1,10.2,ug/m3 LC,43,Azusa
6/27/17,AQS,60370002,1,10.2,ug/m3 LC,43,Azusa
6/30/17,AQS,60370002,1,13.8,ug/m3 LC,55,Azusa
7/3/17,AQS,60370002,1,13.5,ug/m3 LC,54,Azusa
7/6/17,AQS,60370002,1,14.9,ug/m3 LC,57,Azusa
7/9/17,AQS,60370002,1,16.5,ug/m3 LC,60,Azusa
7/12/17,AQS,60370002,1,10.5,ug/m3 LC,44,Azusa
7/15/17,AQS,60370002,1,13.7,ug/m3 LC,54,Azusa
7/18/17,AQS,60370002,1,15,ug/m3 LC,57,Azusa
7/21/17,AQS,60370002,1,15,ug/m3 LC,57,Azusa
7/24/17,AQS,60370002,1,12.7,ug/m3 LC,52,Azusa
7/27/17,AQS,60370002,1,10,ug/m3 LC,42,Azusa
7/30/17,AQS,60370002,1,11.5,ug/m3 LC,48,Azusa
8/2/17,AQS,60370002,1,16.8,ug/m3 LC,61,Azusa
8/5/17,AQS,60370002,1,9.4,ug/m3 LC,39,Azusa
8/8/17,AQS,60370002,1,16.7,ug/m3 LC,61,Azusa
8/11/17,AQS,60370002,1,15.2,ug/m3 LC,58,Azusa
